Brand,AgeOfCar,OdoMeterReading,FuelType,NoOfOwners,Broker,Direct Owner,Trustmark Broker,Manual,Automatic,Price
8,8,1.7668625596754624,1,0.0,1.0,0.0,0.0,0.0,1.0,4.954943693693694
17,11,1.6892446626099855,1,0.0,0.0,1.0,0.0,0.0,1.0,5.686936936936937
25,9,0.7243813012988068,1,0.0,0.0,1.0,0.0,0.0,1.0,2.027027027027027
26,13,0.2955531407160608,4,4.0,0.0,1.0,0.0,1.0,0.0,3.7162162162162167
25,12,1.153209461881553,1,0.0,0.0,1.0,0.0,0.0,1.0,1.801801801801802
24,19,1.153209461881553,1,2.0,0.0,1.0,0.0,0.0,1.0,1.1261261261261262
8,10,0.7243813012988068,4,0.0,0.0,1.0,0.0,0.0,1.0,3.7162162162162167
10,15,-0.12881520699662463,1,0.0,1.0,0.0,0.0,0.0,1.0,2.421171171171171
18,9,-0.5621031804494312,4,0.0,0.0,1.0,0.0,0.0,1.0,1.7454954954954958
5,9,-0.5621031804494312,4,0.0,0.0,1.0,0.0,0.0,1.0,2.927927927927928
18,6,-1.2482282373818248,4,0.0,0.0,1.0,0.0,1.0,0.0,7.770270270270271
8,10,-0.02606797972099868,1,0.0,0.0,1.0,0.0,0.0,1.0,2.702702702702703
10,4,-1.0766969731487264,4,0.0,0.0,1.0,0.0,1.0,0.0,4.2792792792792795
9,9,0.7243813012988068,1,0.0,0.0,1.0,0.0,0.0,1.0,6.531531531531532
23,11,0.7243813012988068,1,0.0,0.0,1.0,0.0,0.0,1.0,5.292792792792794
24,17,0.7243813012988068,1,0.0,0.0,1.0,0.0,0.0,1.0,3.7162162162162167
20,11,1.153209461881553,1,2.0,0.0,1.0,0.0,0.0,1.0,12.04954954954955
18,3,-0.5621031804494312,0,0.0,0.0,1.0,0.0,0.0,1.0,2.9504504504504507
18,8,0.9387953815901798,4,2.0,0.0,1.0,0.0,0.0,1.0,6.700450450450451
18,10,-0.1332750198666852,4,2.0,0.0,1.0,0.0,0.0,1.0,5.123873873873874
18,12,-0.5621031804494312,1,2.0,0.0,1.0,0.0,0.0,1.0,1.463963963963964
18,6,-1.2233347626599964,4,0.0,0.0,1.0,0.0,0.0,1.0,5.405405405405406
10,14,0.03825624436641322,4,2.0,0.0,1.0,0.0,0.0,1.0,1.463963963963964
10,8,-0.09772516535437555,1,0.0,1.0,0.0,0.0,0.0,1.0,3.7162162162162167
5,7,-0.6157067005222745,4,2.0,0.0,1.0,0.0,0.0,1.0,2.3648536036036036
9,9,0.5099672210074339,1,2.0,0.0,1.0,0.0,0.0,1.0,5.574324324324325
21,9,-0.5621031804494312,4,2.0,0.0,1.0,0.0,0.0,1.0,2.1396396396396398
17,11,0.21600551692796144,1,0.0,1.0,0.0,0.0,0.0,1.0,7.094594594594595
10,5,-0.8837243008864907,1,2.0,0.0,1.0,0.0,1.0,0.0,12.162162162162163
18,22,1.088885237794141,4,2.0,0.0,1.0,0.0,0.0,1.0,0.5630630630630631
17,9,0.7243813012988068,1,2.0,0.0,1.0,0.0,0.0,1.0,8.22072072072072
18,11,0.2955531407160608,1,2.0,0.0,1.0,0.0,0.0,1.0,1.0135135135135136
18,7,-0.261923468041509,1,0.0,1.0,0.0,0.0,0.0,1.0,5.968468468468469
17,7,-0.5621031804494312,1,0.0,0.0,1.0,0.0,0.0,1.0,9.346846846846848
18,4,-1.3125524614692368,4,0.0,0.0,1.0,0.0,0.0,1.0,1.9144144144144146
18,9,0.18834610057037432,4,0.0,0.0,1.0,0.0,0.0,1.0,3.1531531531531534
8,5,-0.9909313410321773,1,0.0,1.0,0.0,0.0,0.0,1.0,9.481970720720721
18,15,-0.5621031804494312,4,0.0,0.0,1.0,0.0,0.0,1.0,0.9572072072072072
18,4,-0.5621031804494312,1,0.0,0.0,1.0,0.0,0.0,1.0,7.432432432432433
27,6,-0.9909313410321773,4,2.0,1.0,0.0,0.0,1.0,0.0,9.346846846846848
10,17,-0.1332750198666852,4,2.0,1.0,0.0,0.0,0.0,1.0,0.9009009009009009
18,7,0.5099672210074339,1,4.0,0.0,1.0,0.0,0.0,1.0,2.4774774774774775
25,11,-0.6693102205951177,1,2.0,0.0,1.0,0.0,0.0,1.0,2.6013400900900905
18,11,0.5099672210074339,4,4.0,0.0,1.0,0.0,0.0,1.0,2.027027027027027
10,8,0.08113906042468783,4,2.0,0.0,1.0,0.0,0.0,1.0,3.3783783783783785
