,Dataset,Training Size,Testing Size,Penalty,C,Solver,Accuracy Score
0,BinClass,65 %,35 %,l1,0.1,liblinear,0.8638095238095238
1,BinClass Min Max Scalled,65 %,35 %,l1,0.1,liblinear,0.8457142857142858
2,BinClass Standard Scalled,65 %,35 %,l1,0.1,liblinear,0.8638095238095238
3,MultiClass,65 %,35 %,l1,0.1,liblinear,0.46114285714285713
4,MultiClass Min Max Scalled,65 %,35 %,l1,0.1,liblinear,0.4617142857142857
5,MultiClass Standard Scalled,65 %,35 %,l1,0.1,liblinear,0.46285714285714286
6,BinClass,65 %,35 %,l1,0.1,saga,0.8647619047619047
7,BinClass Min Max Scalled,65 %,35 %,l1,0.1,saga,0.839047619047619
8,BinClass Standard Scalled,65 %,35 %,l1,0.1,saga,0.8628571428571429
9,MultiClass,65 %,35 %,l1,0.1,saga,0.4674285714285714
10,MultiClass Min Max Scalled,65 %,35 %,l1,0.1,saga,0.46514285714285714
11,MultiClass Standard Scalled,65 %,35 %,l1,0.1,saga,0.46285714285714286
12,BinClass,65 %,35 %,l1,1.0,liblinear,0.8666666666666667
13,BinClass Min Max Scalled,65 %,35 %,l1,1.0,liblinear,0.8647619047619047
14,BinClass Standard Scalled,65 %,35 %,l1,1.0,liblinear,0.8666666666666667
15,MultiClass,65 %,35 %,l1,1.0,liblinear,0.46
16,MultiClass Min Max Scalled,65 %,35 %,l1,1.0,liblinear,0.4605714285714286
17,MultiClass Standard Scalled,65 %,35 %,l1,1.0,liblinear,0.45771428571428574
18,BinClass,65 %,35 %,l1,1.0,saga,0.8666666666666667
19,BinClass Min Max Scalled,65 %,35 %,l1,1.0,saga,0.8533333333333334
20,BinClass Standard Scalled,65 %,35 %,l1,1.0,saga,0.8666666666666667
21,MultiClass,65 %,35 %,l1,1.0,saga,0.46914285714285714
22,MultiClass Min Max Scalled,65 %,35 %,l1,1.0,saga,0.468
23,MultiClass Standard Scalled,65 %,35 %,l1,1.0,saga,0.46685714285714286
24,BinClass,65 %,35 %,l1,10.0,liblinear,0.8676190476190476
25,BinClass Min Max Scalled,65 %,35 %,l1,10.0,liblinear,0.8657142857142858
26,BinClass Standard Scalled,65 %,35 %,l1,10.0,liblinear,0.8676190476190476
27,MultiClass,65 %,35 %,l1,10.0,liblinear,0.45885714285714285
28,MultiClass Min Max Scalled,65 %,35 %,l1,10.0,liblinear,0.4594285714285714
29,MultiClass Standard Scalled,65 %,35 %,l1,10.0,liblinear,0.45885714285714285
30,BinClass,65 %,35 %,l1,10.0,saga,0.8676190476190476
31,BinClass Min Max Scalled,65 %,35 %,l1,10.0,saga,0.8580952380952381
32,BinClass Standard Scalled,65 %,35 %,l1,10.0,saga,0.8676190476190476
33,MultiClass,65 %,35 %,l1,10.0,saga,0.468
34,MultiClass Min Max Scalled,65 %,35 %,l1,10.0,saga,0.4662857142857143
35,MultiClass Standard Scalled,65 %,35 %,l1,10.0,saga,0.468
36,BinClass,65 %,35 %,l1,50.0,liblinear,0.8676190476190476
37,BinClass Min Max Scalled,65 %,35 %,l1,50.0,liblinear,0.8666666666666667
38,BinClass Standard Scalled,65 %,35 %,l1,50.0,liblinear,0.8676190476190476
39,MultiClass,65 %,35 %,l1,50.0,liblinear,0.45885714285714285
40,MultiClass Min Max Scalled,65 %,35 %,l1,50.0,liblinear,0.45885714285714285
41,MultiClass Standard Scalled,65 %,35 %,l1,50.0,liblinear,0.45885714285714285
42,BinClass,65 %,35 %,l1,50.0,saga,0.8676190476190476
43,BinClass Min Max Scalled,65 %,35 %,l1,50.0,saga,0.8580952380952381
44,BinClass Standard Scalled,65 %,35 %,l1,50.0,saga,0.8676190476190476
45,MultiClass,65 %,35 %,l1,50.0,saga,0.468
46,MultiClass Min Max Scalled,65 %,35 %,l1,50.0,saga,0.4662857142857143
47,MultiClass Standard Scalled,65 %,35 %,l1,50.0,saga,0.4685714285714286
48,BinClass,65 %,35 %,l2,0.1,liblinear,0.8676190476190476
49,BinClass Min Max Scalled,65 %,35 %,l2,0.1,liblinear,0.8142857142857143
50,BinClass Standard Scalled,65 %,35 %,l2,0.1,liblinear,0.8657142857142858
51,MultiClass,65 %,35 %,l2,0.1,liblinear,0.45885714285714285
52,MultiClass Min Max Scalled,65 %,35 %,l2,0.1,liblinear,0.4617142857142857
53,MultiClass Standard Scalled,65 %,35 %,l2,0.1,liblinear,0.4594285714285714
54,BinClass,65 %,35 %,l2,0.1,saga,0.8666666666666667
55,BinClass Min Max Scalled,65 %,35 %,l2,0.1,saga,0.82
56,BinClass Standard Scalled,65 %,35 %,l2,0.1,saga,0.8685714285714285
57,MultiClass,65 %,35 %,l2,0.1,saga,0.468
58,MultiClass Min Max Scalled,65 %,35 %,l2,0.1,saga,0.4674285714285714
59,MultiClass Standard Scalled,65 %,35 %,l2,0.1,saga,0.4657142857142857
60,BinClass,65 %,35 %,l2,1.0,liblinear,0.8685714285714285
61,BinClass Min Max Scalled,65 %,35 %,l2,1.0,liblinear,0.8523809523809524
